,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Botswana,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Niger,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Antigua and Barbuda,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Chad,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Lesotho,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Uganda,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Togo,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Ethiopia,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Bermuda,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Rwanda,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Eritrea,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Mali,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Ghana,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Comoros,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Benin,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Zimbabwe,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Mozambique,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Nigeria,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Malawi,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Kenya,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Liberia,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Tanzania,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Senegal,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Brazil,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Chile,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Colombia,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Argentina,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Aruba,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Barbados,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Bahamas,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Mauritius,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Guinea,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Gabon,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Bolivia,AO: Imports: cif: Emerging and Developing Economies: Europe: Europe Not Specified,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Djibouti",AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Turkmenistan,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Afghanistan, Islamic Republic of","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Syrian Arab Republic",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Equatorial Guinea,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: United Arab Emirates",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Sierra Leone,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Ukraine,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Moldova,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Kyrgyz Republic,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: South Africa,"AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Congo, Democratic Republic of",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Eswatini,AO: Imports: cif: Emerging and Developing Economies: Africa,AO: Imports: cif: Emerging and Developing Economies: Middle East,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Namibia,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Madagascar,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Burundi,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Gambia,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Belize,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Zambia,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Cameroon,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Seychelles,"AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Congo, Republic of","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Mauritania","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Libya","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Lebanon","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Oman","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Algeria",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Guinea-Bissau,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Iraq","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Jordan","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Bahrain, Kingdom of",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Africa Not Specified,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Kazakhstan,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Qatar",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Burkina Faso,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Cabo Verde,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Sao Tome & Principe,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Morocco","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Kuwait","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Saudi Arabia","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Pakistan",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Cote D'Ivoire,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Sudan","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Tunisia","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Egypt","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Somalia",AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Russia,AO: (DC)Imports: cif: Emerging and Developing Economies: Western Hemisphere: Anguilla,AO: (DC)Imports: cif: Developing Countries: (Old)Middle East,AO: (DC)Imports: cif: Developing Countries: (Old)Africa,AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: CIS: Tajikistan,AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: CIS: Uzbekistan,"AO: (DC)Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: West Bank and Gaza","AO: (DC)Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Iran, Islamic Republic of",AO: (DC)Imports: cif: Emerging and Developing Economies: Middle East and North Africa,AO: (DC)Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Central African Republic,AO: (DC)Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Reunion,AO: (DC)Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: South Africa Common Custom Area excl South Africa,"AO: (DC)Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: (Old)Yemen, People Democratic Republic","AO: (DC)Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Yemen, Republic of"
Region,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
Unit,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn
Source,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,384327097,384319867,384357127,384306717,384330327,384360997,384286177,384263187,384276127,384262027,384257877,384580567,207584101,207582301,207583201,207588601,207587701,207588001,207586501,207585301,207585601,207590701,207589501,300375001,207563101,207563401,207563701,207562501,207567901,207568201,207567601,207587101,207584701,207583501,207562801,207593101,384258457,384272847,132335604,384623217,384565497,384519097,384511267,207589801,207596701,207595801,207595201,207561301,207582901,384497907,248361701,248361101,248360801,384581067,207586201,207581101,207583801,207569101,207591601,207581401,207589201,207582601,207586801,207585901,207573301,207573601,207580801,207584401,207572101,207572701,207571201,207591901,131616304,131616204,207591301,207581701,207588901,207587401,207573001,207573901,207578401,207585001,207590401,207591001,207574501,207590101,207596101,384281867,207570901,207580201,384286697,384611327,384529257,207571801,300374701,207582001,207588301,207580501,207574201,207574801
SR Code,SR102302677,SR102302757,SR102302817,SR102302687,SR102302727,SR102302797,SR102302787,SR102302717,SR102302827,SR102302767,SR102302707,SR102302737,SR6721463,SR6721287,SR6721327,SR6721133,SR6721454,SR6721423,SR6721483,SR6721068,SR6721062,SR6721093,SR6721239,SR6721036,SR6721199,SR6721510,SR6721139,SR6721317,SR6721072,SR6721216,SR6721451,SR6721141,SR6721389,SR6721143,SR6721449,SR6721258,SR102302637,SR102302607,SR6892626,SR102302627,SR102302647,SR102302697,SR102302657,SR6721264,SR6721447,SR6721324,SR6721219,SR6721390,SR6721448,SR102302777,SR6721383,SR6721276,SR6721357,SR102302747,SR6721330,SR6721265,SR6721233,SR6721345,SR6721391,SR6721163,SR6721047,SR6721048,SR6721408,SR6721315,SR6721158,SR6721427,SR6721179,SR6721042,SR6721313,SR6721197,SR6721147,SR6721455,SR6750948,SR6750322,SR6721319,SR6721416,SR6721311,SR6721104,SR6721351,SR6721519,SR6721215,SR6721458,SR6721161,SR6721464,SR6721182,SR6721412,SR6721491,SR102302807,SR6721229,SR6721223,SR102302597,SR102302617,SR102302667,SR6721393,SR6721046,SR6721222,SR6721386,SR6721417,SR6721099,SR6721518
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Obs. Date,01/2000,01/2000,01/2000,01/2000,01/2007,08/2003,01/2000,01/2000,01/2000,01/2007,01/2000,01/2000,01/1981,08/1972,01/2000,12/1965,01/1960,12/1964,07/1969,07/1972,12/1970,01/1984,06/1970,01/1960,10/1962,06/1972,08/1972,10/1965,01/2000,04/1999,01/1983,10/1990,06/1970,12/1972,01/1992,08/1961,01/2000,01/2000,01/1960,01/2000,01/2007,01/2000,01/2000,01/2000,01/1998,01/1997,01/1999,01/1960,01/1960,01/2000,01/1960,01/1960,01/1960,01/2000,11/1971,01/1992,01/2000,08/1990,07/1969,04/1969,12/1965,04/1969,01/1988,01/2000,07/1969,01/1995,07/1969,03/1971,11/1966,07/1972,02/1972,12/1960,01/2000,01/2000,01/1995,07/1969,07/1969,08/1966,10/1961,12/1961,03/1960,07/1967,04/1981,10/1965,01/1988,01/2000,01/1993,01/2000,01/1980,01/1980,01/2000,01/2007,01/2007,01/1960,01/1980,01/1993,01/1981,01/1998,04/1968,01/2000
Last Obs. Date,11/2018,04/2019,04/2019,12/2014,11/2018,04/2019,04/2019,04/2019,12/2014,10/2018,04/2019,04/2019,04/2019,12/2014,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,11/2018,04/2019,12/2014,12/2014,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,12/2015,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,11/2018,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,02/2018,04/2019,04/2019,12/2018,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,12/2014,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,04/2019,12/2014,04/2019,12/2013,09/2008,09/2008,12/2012,12/2012,12/2010,07/1974,03/2013,12/2012,12/1996,11/2015,04/1974,12/2013
Last Update Time,08/07/2019,08/07/2019,08/07/2019,08/07/2019,23/03/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,23/03/2019,08/07/2019,08/07/2019,08/07/2019,07/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,07/07/2019,08/07/2019,24/02/2018,24/02/2018,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,25/05/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,01/04/2019,08/07/2019,08/07/2019,07/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,07/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,07/07/2019,08/07/2019,08/07/2019,20/09/2015,20/09/2015,08/07/2019,27/09/2018,23/03/2019,05/03/2017,20/09/2015,07/07/2019,20/09/2015,27/04/2016,05/03/2017,07/07/2019
Series remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384623217,132335604,,,,,
Mean,0.09915115596330272,0.005340568965517243,0.2528414181034483,0.002968194444444445,0.012038337837837832,0.06333885975609754,2.4761430871794876,0.07161362068965514,0.039924570512820536,0.0011789000000000005,0.002768045918367347,0.014502047413793106,0.5455402675999995,0.0009922385321100918,1.5688304590909088,0.30015785344298196,0.2846485980737707,0.5831284732579188,0.0018651118007662845,0.3524859163131317,0.07984309395973152,0.051623931304347746,0.17524134263736268,38.22567917917335,32.53199137046814,2.873281859903379,0.48244004488,7.515529757763174,0.3070715722222233,0.17269396428571424,0.21293844436170228,1.091279986301369,0.051782668943089444,0.2925218665895953,0.03568753982300886,0.057102435897435896,0.04499120454545454,0.006549111111111112,22.721552664201123,0.03226285344827586,0.1647351351351351,0.748345797413793,33.10157433189654,0.005075202586206897,1.0055990653594784,0.023542022727272738,0.07512058947019866,34.020097273245405,0.22489881176470544,1.0443997284482753,41.37200863429254,22.242205415813515,40.96452716709836,12.87078912068965,0.008399987130044839,0.010027278032786887,0.0020929230769230777,0.06895457718120811,0.08717791355509336,0.10218098053846161,0.0242722151898734,1.8863825904328073,4.319555672499991,0.01704952586206896,2.4593963312121216,0.9061583826206888,0.14614362982935167,0.03179091408934707,0.6287745634920635,0.15240488297413798,1.2014365291459068,0.13636618367346942,0.011051974137931027,0.2408189869565217,0.0017103455102040813,0.04363220198019802,0.014755309027777767,1.785259687455089,0.2099402083333332,1.1448262456451634,1.2446764311377263,1.5801492480423227,0.053794247191011266,2.153317692278909,1.169253811176471,0.0062758690476190475,3.120493420979025,0.0020329230769230763,0.3145305237681154,23.667251666666672,0.0011440916666666668,0.0016842499999999963,0.006782500000000003,0.6116666666666672,2.9351778819298295,0.002521132083333332,0,1.6880756935814014,0.5133448275862069,0.09015860119047618
Variance,0.005740668051828098,0.00006949047035885957,0.0621099942180539,0.000007137534940947942,0.0016127673257062213,0.028260859275961826,11.762918052253703,0.006439434750097925,0.00955550390158854,8.874682461538466e-7,0.000009232383213265303,0.001113707940850556,0.39215729546395756,0.000012436780238871898,12.864092220712374,0.1546174904703422,0.13310235973105156,1.8788379639271944,0.000010148621312331748,0.12362186355739246,0.009986689175180303,0.004194889458469348,0.19659746439162842,3652.7959034365913,2331.441867187122,164.59587315372363,0.34578541100790533,58.59762279639645,1.3107771773205357,0.02802202091524326,0.0567933286337574,1.4644499001846056,0.01948876015012202,0.1532627801016697,0.016179036342322473,0.008269499846504456,0.008518142173524175,0.00011820130426791275,1744.6461536651689,0.002756167258272802,0.026368579338634672,2.8485610642841195,1338.0815685215405,0.00014601774292414911,2.2281119037243995,0.01533896653644778,0.010966581047031985,1923.2178548664303,0.09316035579494981,1.0546540694447182,4273.812479871209,1493.0083728167772,3721.6257610452412,329.09752854399795,0.00013836570341360034,0.00013655517156148275,0.000005060443617242663,0.005471510947015967,0.020662510177824816,0.02122457161944332,0.0012233068668984124,10.258567296084632,5.8487619626456,0.0008440036532374233,10.131420394239518,2.565455856527989,0.07872472364090542,0.004690912910822361,1.368806963420829,0.09192564619145778,33.497967950151015,0.03220045311646864,0.00014297492151447983,0.15179100795180334,0.000004148195041280257,0.0036213879189302,0.0011373551205418023,4.430219898351503,0.2040793686123245,2.782490061442887,2.1891786927292536,12.17078897656948,0.023157599250529105,13.345316495623692,1.9722163044308294,0.00010368276447376679,16.545716010003673,0.000006442260394044667,0.20926690226127018,867.1498128532583,8.729875461484592e-7,0.000004498989638297866,0.00006262487157446809,0.584684538152611,21.739826714910862,0.000006679975507733842,0,1.3486725547766396,0.3481681625615763,0.04727249880456454
Standard Deviation,0.07576719640997744,0.008336094430778694,0.24921876778857147,0.0026716165407760038,0.040159274466880265,0.1681096644335531,3.4297110741655343,0.08024608869034007,0.09775225778256244,0.0009420553307284273,0.003038483702978396,0.033372263046586394,0.626224636583357,0.0035265819484129246,3.5866547395466397,0.3932143060346892,0.3648319609505883,1.3707071036246927,0.003185690084162574,0.3515990096080938,0.09993342371389215,0.06476796629869852,0.44339312623407734,60.43836450001432,48.285006649964565,12.829492318627562,0.5880352123877493,7.654908412018817,1.1448917753746577,0.1673977924443547,0.23831350912979607,1.2101445782155973,0.13960214951827218,0.39148790543472695,0.12719684092902023,0.09093679039038301,0.09229378187897695,0.010872042322761292,41.76896160625937,0.052499211977636406,0.1623840489045481,1.6877680718286263,36.57979727283273,0.012083780158714785,1.4926861370443552,0.12385058149418508,0.10472144501978563,43.85450780554298,0.3052218140876399,1.0269635190427742,65.37440232897896,38.63946651827348,61.005128973269464,18.141045409347225,0.01176289519691476,0.011685682331874453,0.0022495429796389006,0.07396966234217896,0.14374460051711443,0.1456865526376519,0.03497580402075715,3.2028998261083084,2.4184213782229103,0.029051740967408878,3.1829892230793866,1.601704047734159,0.2805792644528555,0.06849023952960277,1.1699602401025555,0.3031924243635678,5.787742906362636,0.1794448470045006,0.011957212112966794,0.3896036549518027,0.0020367118208721273,0.06017796871721577,0.03372469600369738,2.104808755766543,0.45175144561177055,1.668079752722539,1.4795873386621194,3.4886657874564997,0.1521762111846957,3.6531242102649193,1.404356188589928,0.010182473396663838,4.067642561730771,0.0025381608290344147,0.4574569949856163,29.44740757440726,0.000934338025635508,0.0021210821856537916,0.007913587781434417,0.764646675368834,4.662598708328957,0.0025845648584885313,0,1.16132362189729,0.5900577620551876,0.21742239720085083
Skewness,0.376211717794346,2.8756308608669467,1.219932888763254,1.4626522090238623,7.295144479245183,9.567379960043848,6.37810953443377,2.2290046785776267,3.4454084087217507,3.2936081582443806,2.019709452081741,5.1293173747686955,2.4679353074472727,10.038331926377136,2.6790189861552354,2.180489200357661,2.663241050088055,3.4493994917383923,2.5031205587882592,3.2084362385298024,2.7785059641396774,2.6878022290417998,5.1569814941452705,2.0485638036632445,2.2185260611426143,8.05442736614195,1.719728617447355,1.3963823702806046,3.503651679320962,0.47092404213884403,1.0074551755445935,0.48678050725275746,3.690723290961451,2.9403396986427572,5.3837900638902045,2.504563617608005,2.9507654398365157,2.814698391698388,2.6988725286116306,2.442841940423404,0.7865831313587849,2.9313143881774395,2.6867826274689937,4.10427617872859,3.273438205641014,6.5249245217553415,2.5581032152280896,1.4300439186357694,5.418071043106026,2.274804609596402,2.0143822423901296,2.7925727350971616,2.085915407631438,2.4277238035115585,3.244725717673259,2.4961378791331743,2.0888083456742352,0.4574534828345581,3.765028586866106,8.163050872961893,3.609514966412378,3.112853264353779,-0.02603677721168527,2.6258863026838597,1.6071290435465404,3.9563597326874644,9.980141223287909,2.374163169020982,2.832093073812536,4.011507495586817,5.201603476860485,2.138975360534081,7.059622057445311,3.6765185540268304,4.789928851763088,1.6349685152695375,6.41444567670025,2.1145281725284173,2.894252432512603,2.5201908404615643,2.1864379090711736,4.926139271648465,8.91673709790428,2.6285092109538435,1.2890618587499654,1.7207488097177928,1.5915255599513,2.3686316882066567,2.6181445418180305,1.780730013092724,1.3303132983471162,1.0253266641727643,1.0695715934288015,2.9435286292197755,1.7337281639622295,1.2537753720204405,,-0.027552255831396755,1.9310798657989583,2.452462418795959
